"sp","idividual","ind_ID","leaf_area_dry_cm2","leaf_area_fresh_cm2","LA_cm2","PLA_dry_percent","sum_dry_mass_leaf_blade_g","LMA_g_per_m2","mean_LT_mm","LD_g_per_cm3","sum_fresh_mass_leaf_blade_g","WMA_g_per_m2","mean_SPAD","Chl_m2_per_g","mean_TLP_Mpa","WD_g_per_cm3"
"caco",1,"caco_1",758.8603999,895.4054399,298.468479966667,15.2495209338073,3.56,39.7585254831329,0.137777777777778,0.288569943022739,7.39,42.773919269775,32.756,0.823873612060798,-2.18268,0.914979757
"caco",2,"caco_2",1053.3026714,1311.3463331,437.115444366667,19.677765910245,8.34,63.5987594542197,0.197777777777778,0.321566761285381,17.49,69.7756173868238,38.773,0.609650256274416,-2.12132,0.714723926
"caco",3,"caco_3",1469.0902162,1764.2071474,588.069049133333,16.7280203821262,6.04,34.2363424210215,0.132222222222222,0.258930320831255,14.25,46.5364853106932,29.632,0.865513016419814,-2.09324,0.868462758
"cagl",1,"cagl_1",517.349146,611.7248826,203.9082942,15.4278073827694,2.67,43.6470720081184,0.116666666666667,0.374117760069587,5.22,41.6854058504502,31.876,0.73031244785609,-2.70268,0.593220339
"cagl",2,"cagl_2",639.3048989,868.1327912,289.377597066667,26.3586279218524,3.72,42.8505873491765,0.146666666666667,0.292163095562567,9.99,72.2239738385314,36.562,0.85324384709286,-1.90292,0.595744681
"cagl",3,"cagl_3",975.3498375,1242.2763973,414.092132433333,21.4868897437113,5.19,41.7781422176264,0.152222222222222,0.274454948874919,12.92,62.2244777152702,33.867,0.810639205151428,-1.77916,0.663316583
"caovl",1,"caovl_1",627.7147592,804.62212171,268.207373903333,21.9863905971206,4.19,52.0741337697169,0.148888888888889,0.349751644721979,8.2,49.837058810636,28.598,0.549178602306983,-2.45412,1.091254753
"caovl",2,"caovl_2",1447.6621736,1653.1492478,551.049749266667,12.4300376674073,7.63,46.1543324666781,0.144444444444444,0.319529994000079,15.11,45.2469733749347,29.291,0.634631646360548,-2.47492,0.593869732
"caovl",3,"caovl_3",1314.3954562,1460.1676134,486.7225378,9.98324821494771,6.51,44.5839226966654,0.13,0.342953251512811,12.75,42.7348199120111,30.974,0.694734741281899,-2.52276,1.205479452
"cato",3,"cato_3",1543.4239005,1849.72309,616.574363333333,16.559191543638,8.39,45.3581406068732,0.205555555555556,0.220661224573978,22.33,75.362631711539,34.769,0.766543767773659,-2.19516,0.827586207
"fagr",1,"fagr_1",99.48612046,108.14060725,36.0468690833333,8.00299444406902,0.29,26.8169383707617,0.0666666666666667,0.402254075561426,0.69,36.9888805113955,27.08,1.00980953252759,-2.57164,0.632124352
"fagr",2,"fagr_2",138.8402548,154.50172965,51.50057655,10.1367634430234,0.56,36.245548918358,0.0722222222222222,0.50186144656188,1.32,49.1903878177716,31.403,0.866396038606955,NA,0.58685446
"fagr",3,"fagr_3",123.905698,137.98190102,45.9939670066667,10.2014850614065,0.4,28.9893092531042,0.0722222222222222,0.401390435812213,0.93,38.4108347603631,30.545,1.05366429166397,NA,0.639175258
"fram",1,"fram_1",537.2900546,621.2550536,207.085017866667,13.5153828549879,2.75,44.2652334828428,0.123333333333333,0.358907298509536,6.98,68.0879773208818,27.564,0.622700883542924,-2.51964,0.570247934
"fram",2,"fram_2",615.1733828,713.8929031,237.964301033333,13.8283375379306,3.39,47.4861143076126,0.121111111111111,0.392087182356435,7.07,51.5483482749305,38.63,0.813500968930767,-1.9154,0.550595238
"fram",3,"fram_3",1046.3347233,1186.9737067,395.657902233333,11.8485340160568,4.52,38.080034751287,0.112222222222222,0.339327042338202,9.49,41.8711886535169,34.043,0.893985528698852,-1.8686,0.572727273
"juni",1,"juni_1",587.68405573,848.7197203,282.906573433333,30.7564038311412,5.44,64.0965429444376,0.135555555555556,0.472843349590113,12.94,88.3683956035445,27.432,0.427979400133632,-2.91068,1.050724638
"juni",2,"juni_2",1310.5492368,1535.5736848,511.857894933333,14.6540963958566,11.48,74.7603329858782,0.124444444444444,0.600752675779379,19.22,50.4046147483186,27.454,0.367226828767415,-2.60804,1.03125
"juni",3,"juni_3",580.8095912,812.5076673,270.8358891,28.5164171890148,6.3,77.5377298399557,0.164444444444445,0.47151322199973,14.28,98.2144577972772,21.448,0.2766137214008,NA,1.197080292
"litu",1,"litu_1",192.8200302,244.91067911,81.6368930366667,21.2692435868033,0.8,32.6649700579486,0.146666666666667,0.222715704940558,3.08,93.0951646651534,32.943,1.00851156274009,-1.72716,0.441314554
"litu",2,"litu_2",266.374626,321.96570361,107.321901203333,17.2661488433992,1.77,54.974799494297,0.141111111111111,0.389585193266672,4.88,96.5941392244427,33.724,0.613444711217155,-2.02252,0.385579937
"litu",3,"litu_3",177.4155733,222.14776619,74.0492553966667,20.1362334887226,1.18,53.1177972319002,0.157777777777778,0.336662095131762,3.8,117.939515887778,34.604,0.651457737393115,-2.0142,0.384453782
"qual",1,"qual_1",130.4647204,143.2858177,47.7619392333333,8.94791787896536,1.07,74.6759181875402,0.151111111111111,0.494178870358722,2.25,82.3528817395303,31.194,0.417725027788206,-2.5082,0.594936709
"qual",2,"qual_2",161.6826214,176.25622755,58.75207585,8.26842055601456,1.54,87.3727993277932,0.187777777777778,0.465298931331443,3.23,95.8831369246561,38.905,0.445275878755373,-2.67356,0.601973684
"qual",3,"qual_3",151.4166092,165.22425399,55.07475133,8.35691156507548,1.08,65.3657059371783,0.157777777777778,0.414289685517328,2.44,82.3123704394097,35.198,0.538478082587039,-2.5706,0.636363636
"qupr",1,"qupr_1",86.697522,99.88069294,33.2935643133333,13.1989181812338,1.18,118.140950494691,0.237777777777778,0.496854464697299,2.49,131.156478939022,37.2,0.314878116726102,-2.30332,0.602484472
"qupr",2,"qupr_2",186.53162454,210.93401823,70.31133941,11.568733149241,1.04,49.3045175323971,0.155555555555556,0.316957612708267,2.4,64.4751383115962,30.49,0.618401751522375,-2.30956,0.616352201
"qupr",3,"qupr_3",130.90967433,146.2248247,48.7416082333333,10.4737006191808,0.7,47.8714884039796,0.142222222222222,0.336596402840481,1.72,69.755597388656,33.35,0.696656843392143,-2.46764,0.619565217
"quru",1,"quru_1",324.004829,368.2662346,122.755411533333,12.0188606615199,2.76,74.9457794575664,0.168888888888889,0.443757904682959,5.92,85.8074866253296,38.091,0.508247432686543,-2.55708,0.626556017
"quru",2,"quru_2",229.228587,256.57886297,85.5262876566667,10.6595982433666,1.63,63.5282260250169,0.157777777777778,0.40264368607405,4.01,92.7590048708836,35.077,0.552148268490717,-2.41252,0.63973064
"quru",3,"quru_3",341.1540077,380.48839754,126.829465846667,10.3378684065826,2.85,74.9037294810122,0.18,0.416131830450067,6.58,98.0318985839213,40.962,0.546861955790649,-2.94916,0.598976109
"quve",1,"quve_1",352.42656723,403.6609691,134.553656366667,12.692433946297,1.89,46.8214701117607,0.161111111111111,0.290616021383342,4.68,69.1174082602182,31.139,0.665058143746291,-2.27524,0.691891892
"quve",2,"quve_2",397.06227006,457.6625673,152.5541891,13.2412614816882,2.14,46.7593408966135,0.154444444444445,0.302758322352173,5.64,76.4755575411902,29.83,0.637947401054159,-2.55604,0.658227848
"quve",3,"quve_3",357.32237616,417.13639,139.045463333333,14.3391982272273,2.19,52.5008139424134,0.18,0.291671188568963,5.83,87.2616268266597,32.162,0.612600026263927,-2.33244,0.611455108
