"species","census1_AGB_Mg.C.ha1_1cm","census1_n_1cm","census1_AGB_Mg.C.ha1_10cm","census1_n_10cm","census2_AGB_Mg.C.ha1_1cm","census2_n_1cm","census2_AGB_Mg.C.ha1_10cm","census2_n_10cm"
"total",150.14399835222,38669,NA,NA,157.572608820399,45613,NA,NA
"litu",61.1043904280447,2500,61.0644180229962,2275,67.4299075082099,2417,67.2694815962504,2202
"quve",17.1519376392316,337,17.1503487603778,327,16.6855007643096,296,16.683714445168,288
"qual",16.9064754734758,455,16.8993762866423,419,17.6351819950618,422,17.5928091601451,392
"quru",13.5471849769489,479,13.5300637587237,411,13.6778075303773,415,13.6613751542384,361
"fram",7.48505339038497,787,7.41803346894125,432,7.60243960319715,742,7.52690207388144,397
"qupr",6.98660263617316,318,6.97376854876173,261,7.08930439355431,287,7.07051984806942,233
"cagl",6.114712408346,1853,5.95191873488933,769,6.57094642640513,1775,6.37812191902409,741
"cato",3.86903356950741,1443,3.74569217464935,627,3.9246041951208,1394,3.77914988314432,602
"juni",2.76224625763423,130,2.76224262402497,128,3.03018029739016,126,3.03014536277916,121
"caovl",2.46871107657244,475,2.43392206688722,301,2.53445098287066,478,2.47663242505429,291
"caco",2.45833959806292,463,2.42348304887655,218,2.68871907761071,466,2.63810518020837,212
"nysy",1.80427160986314,1440,1.6614813401523,505,1.7773351619444,1346,1.62587435044014,485
"fagr",1.41831044415627,567,1.36364254573494,279,1.51304364985722,593,1.43910510912096,277
"acru",0.927490298380544,391,0.896597713631493,184,0.953881036435178,350,0.917587980477151,172
"ploc",0.755966489963312,36,0.754962191377137,26,0.80893771388243,32,0.806796639990038,25
"tiam",0.651958121461458,178,0.648553333188305,138,0.664943646205387,172,0.661690703456416,131
"prse",0.458680987964619,42,0.457665147633596,14,0.429489575657732,65,0.428027412008325,11
"saal",0.327402171695558,199,0.31919965378865,77,0.238614513915978,157,0.230025600486447,57
"pist",0.300325770688138,101,0.298719657365543,96,0.313976423212915,88,0.313500639993695,86
"frni",0.27765047103219,73,0.272404455093325,46,0.280991750236579,69,0.276705494086866,42
"ceca",0.253277553568355,944,0.138273688927096,135,0.231869982494181,859,0.124301385351269,100
"rops",0.243477186911929,37,0.242319021207006,26,0.075354772949502,8,0.0752992996136672,5
"casp",0.218233902520089,45,0.2149436863899,17,NA,NA,NA,NA
"prav",0.209615794131028,98,0.201954074563513,47,0.224063516824436,96,0.216280936486853,43
"caca",0.153061326705809,2928,0.0806419488499066,230,0.166450460300027,4045,0.0804916165464257,200
"cofl",0.146965900077489,760,0.026511700115381,29,0.0887899435800864,420,0.0163655617205571,17
"qusp",0.109021194522548,7,0.108780489058645,5,NA,NA,NA,NA
"amar",0.103399102727103,358,0.0286017785929001,21,0.0938953137928149,316,0.0246238066750926,17
"quco",0.10081641076233,2,0.10081641076233,2,0.05906257544352,1,0.05906257544352,1
"qumi",0.0965243321647764,3,0.0965243321647764,3,0.0997233285730047,3,0.0997233285730047,3
"havi",0.0933444338794077,1426,0.00711839701069876,7,0.0913229948676758,1381,0.0056081900771848,5
"qufa",0.0841333681250952,1,0.0841333681250952,1,0.0922156345775731,1,0.0922156345775731,1
"ulam",0.0660014873266694,41,0.0634999862219536,22,0.0340491650153889,28,0.0319866970872087,13
"vipr",0.0635080462142635,431,0.0136702860133961,10,0.0681676369161864,430,0.0145793802388008,10
"ulsp",0.0500348841962229,59,0.0443577092895185,25,8.65152372796959e-06,2,NA,NA
"frpe",0.0464788536223171,60,0.0392099883216168,15,0.0476576948518546,55,0.0418680985036452,14
"ceoc",0.032097135419145,117,0.0276477683786002,45,0.0326658108073073,104,0.0280443352411564,38
"ulru",0.0300181980401557,689,0.0272948945637411,298,0.0106749530791475,394,0.00863318819579318,114
"astr",0.025752500691815,3894,0.000985102656891893,4,0.0370575179032006,5144,0.000715355150386554,3
"acpl",0.0227201008604995,11,0.0217708050301194,6,0.0266533205942665,12,0.0254833208648389,6
"pato",0.0223467039044391,3,0.0223467039044391,3,0.0195335365571571,3,0.0194958747098507,2
"pivi",0.0202738744427964,3,0.0202738744427964,3,0.0212296467189012,3,0.0212296467189012,3
"juci",0.011081687087868,4,0.0110477005228531,2,0.0121280973911456,3,0.0120564765547761,2
"acne",0.0101136887710708,38,0.00833733635966039,4,0.0153327110052593,63,0.0110707085736055,4
"pipu",0.00719197157676824,1,0.00719197157676824,1,0.00718493610328569,1,0.00718493610328569,1
"aial",0.00648767110074163,42,0.00613218312837509,4,0.00774098897469506,34,0.00704951841046528,4
"divi",0.00408703893771806,8,0.00384791671423519,3,0.00244354969022951,6,0.00227905708873176,2
"cade",0.00258741872758556,11,0.00103861720974851,1,0.00213658849770325,6,0.00139074675110331,1
"qumu",0.00179951126275262,1,0.00179951126275262,1,0.00213717164061155,1,0.00213717164061155,1
"frsp",0.00156928388860052,5,0.000947234055199387,1,NA,NA,NA,NA
"coal",0.00102836056010186,1,0.00102836056010186,1,0.00119131701284623,2,0.00118401129832738,1
"romu",0.000818847802895792,196,NA,NA,NA,NA,NA,NA
"crsp",0.000804107952432457,11,NA,NA,0.000653747545773185,9,NA,NA
"ilve",0.000387056458301714,48,NA,NA,0.000363146532676397,47,NA,NA
"chvi",0.000334789469064641,15,NA,NA,0.000404412723045498,11,NA,NA
"loma",0.000177226028957748,28,NA,NA,0.000515592541222892,39,NA,NA
"ruph",9.11366227288286e-05,36,NA,NA,NA,NA,NA,NA
"rual",5.45633577644444e-05,14,NA,NA,NA,NA,NA,NA
"crpr",1.64616360321754e-05,1,NA,NA,1.90664812253132e-05,1,NA,NA
"saca",1.05195756010922e-05,29,NA,NA,1.15414662213152e-05,24,NA,NA
"elum",9.83869324833938e-06,4,NA,NA,8.13032292758021e-05,33,NA,NA
"vire",6.57142796176738e-06,2,NA,NA,1.44886589423495e-05,3,NA,NA
"coam",4.17536116256813e-06,3,NA,NA,5.825961175435e-06,1,NA,NA
"rupe",3.92934154400088e-06,2,NA,NA,NA,NA,NA,NA
"acsp",3.86080275015703e-06,1,NA,NA,2.63110558986228e-06,1,NA,NA
"beth",1.08231423986647e-06,3,NA,NA,4.79837398768312e-06,15,NA,NA
