"tag","coreID","sp","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
50262,"50262","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.541,0.56,0.457,0.512,0.402,0.312,0.474,0.38,0.343,0.323,0.207,0.274,0.316,0.223,0.324,0.371,0.324,0.255,0.475,0.364,0.39,0.339,0.411,0.435,0.276,0.23,0.22,0.316,0.434,0.458,0.299,0.353,0.208,0.294,0.18,0.232,0.294,0.268,0.294,0.258,0.399,0.471,0.385,0.339,0.327,0.287,0.301,0.224,0.282,0.283,0.407,0.306,0.239,0.3,0.323,0.272,0.245,0.288,0.265,0.35,0.322,0.266,0.328,0.227,0.318,0.754,0.287,0.161,0.162,0.517,0.213,NA,NA,NA,NA,NA,NA,NA,NA
50336,"50336","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688,0.474,0.69,0.66,0.55,0.531,0.516,0.255,0.196,0.168,0.291,0.141,0.152,0.161,0.139,0.151,0.152,0.116,0.092,0.029,0.119,0.078,0.078,0.176,0.2,0.115,0.287,0.499,0.549,0.883,1.13,1.106,0.822,1.613,1.743,1.295,1.731,1.338,2.138,1.248,1.197,0.62,0.546,0.804,0.824,0.643,0.561,0.673,0.784,0.779,0.638,0.563,0.754,0.641,0.708,0.662,0.701,0.557,0.596,0.56,0.52,0.475,0.548,0.476,0.574,0.656,0.535,0.773,0.538,0.585,0.36,0.239,0.32,0.25,0.271,0.277,0.188,0.343,0.295,0.347,0.331,0.408,0.43,0.682,0.394,0.503,0.566,0.387,0.514,0.413,0.39,0.334,0.396,0.439,0.468,0.463,0.557,0.617,0.345,0.373,0.684,0.948,0.716,0.6,0.544,0.847,0.696,0.583,0.36,0.249,0.191,0.196,0.199,0.249,0.221,0.143,0.165,NA,NA,NA,NA,NA,NA,NA,NA
50356,"50356","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.612,1.638,1.085,1.431,1.013,1.054,1.026,1.162,1.015,0.979,1.101,0.989,1.047,1.131,1.048,1.035,1.003,1.509,1.227,1.261,1.327,1.352,1.367,1.34,0.99,1.071,0.914,1.137,0.858,0.727,0.988,0.786,1.161,1.049,0.962,0.982,0.843,0.724,0.548,0.727,0.967,0.941,1.09,0.807,0.903,1.007,0.858,1.101,1.023,0.527,0.942,0.786,1.239,1.222,1.284,1.062,1.188,1.466,0.991,0.947,1.044,0.894,1.596,0.844,1.238,1.232,1.179,0.83,0.914,1.017,1.108,0.99,1.011,1.37,1.336,0.933,1.265,0.653,1.442,1.034,1.018,1.058,NA,NA,NA,NA,NA,NA,NA,NA
50442,"50442","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469,0.369,0.379,0.348,0.3,0.395,0.209,0.227,0.137,0.117,0.165,0.078,0.067,0.114,0.071,0.104,0.026,0.159,0.223,0.184,0.238,0.362,1.2,1.783,1.442,1.547,1.524,0.949,1.264,1.261,1.413,0.902,0.881,0.914,1.474,1.089,0.938,0.73,0.972,1.024,1.134,0.956,1.027,1.191,0.937,0.842,0.749,0.743,0.95,1.053,1,1.15,0.889,0.614,0.559,0.654,0.555,0.707,0.738,1.053,0.754,1.103,0.747,0.84,0.566,0.529,0.566,0.623,0.711,0.792,0.611,1.015,0.857,0.93,0.745,0.628,0.788,0.756,0.345,0.618,0.71,0.509,0.499,0.483,0.595,0.491,0.516,0.574,0.373,0.368,0.414,0.414,0.448,0.494,0.604,0.571,0.711,0.57,0.602,0.323,0.319,0.203,0.254,0.371,0.218,0.273,0.26,0.352,0.267,0.222,NA,NA,NA,NA,NA,NA,NA,NA
60124,"60124","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737,0.677,0.65,0.646,0.599,0.581,0.723,0.686,0.802,0.825,0.585,0.736,0.473,0.169,0.237,0.365,0.306,0.271,0.209,0.17,0.212,0.302,0.191,0.195,0.172,0.196,0.107,0.122,0.114,0.174,0.236,0.142,0.089,0.102,0.086,0.1,0.121,0.141,0.259,0.225,0.146,0.148,0.245,0.295,1.017,1.526,1.805,1.599,1.375,1.183,1.486,0.976,1.163,0.695,0.723,0.592,0.681,0.744,0.699,0.629,0.58,0.554,0.694,0.831,1.179,0.961,0.859,0.505,0.938,0.569,1.01,1.188,0.892,1.154,0.883,0.845,0.703,0.533,0.564,0.46,0.48,0.884,1.204,0.89,0.639,0.472,0.501,0.555,0.514,0.478,0.601,0.696,0.625,0.719,0.627,0.648,0.745,0.785,0.671,0.442,0.456,0.451,0.229,0.196,0.15,0.122,0.079,0.167,0.177,0.098,0.113,0.142,0.192,0.159,0.138,0.15,0.178,0.146,0.202,0.122,NA,NA,NA,NA,NA,NA,NA,NA
60358,"60358","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0.407,0.257,0.203,0.269,0.353,0.684,0.856,0.762,0.868,1.256,0.749,1.01,0.701,0.648,0.986,0.654,1.006,0.805,0.768,0.616,0.824,0.779,0.925,0.719,0.618,0.63,0.522,0.346,0.355,0.23,0.166,0.127,0.146,0.114,0.167,0.167,0.104,0.176,0.134,0.119,0.295,0.54,0.654,0.455,0.713,0.633,0.614,0.557,0.62,0.598,0.552,0.541,0.597,0.375,0.452,0.445,0.217,0.29,0.189,0.216,0.195,0.194,0.274,0.3,0.201,0.268,0.353,0.405,0.319,0.289,0.375,0.274,0.216,0.42,0.347,0.287,0.24,0.182,0.194,0.185,0.354,0.202,0.153,0.353,0.171,0.163,0.12,0.093,0.145,0.088,0.069,0.108,0.117,0.142,0.153,0.173,0.174,0.337,0.305,0.21,0.487,0.792,0.771,0.295,0.618,0.331,0.39,0.372,0.247,0.424,0.8,0.766,0.571,0.909,0.357,0.508,0.513,0.426,0.321,0.457,0.287,0.318,NA,NA,NA,NA,NA,NA,NA,NA
70162,"70162","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.719,0.56,0.882,1.21,0.82,0.779,0.83,0.768,0.705,0.556,0.423,0.451,0.217,0.2,0.125,0.297,0.213,0.159,0.106,0.11,0.079,0.123,0.084,0.384,0.788,1.462,0.905,1.318,1.47,2.022,2.561,2.693,2.979,2.833,3.087,3.528,3.491,3.004,1.687,2.088,1.646,1.499,1.234,1.067,1.46,1.393,1.502,1.458,1.14,1.148,0.895,0.938,0.756,1.066,0.509,0.369,0.998,0.499,0.695,0.446,0.378,0.544,0.881,0.82,1.424,0.736,1.454,0.59,0.754,1.108,0.544,0.749,0.541,0.733,0.412,0.873,0.512,0.656,0.571,0.613,0.631,0.601,0.498,0.759,0.497,0.355,0.401,0.576,0.322,0.404,0.477,0.492,0.359,0.411,0.397,0.756,0.59,0.384,0.766,0.413,0.459,0.538,0.437,0.333,0.297,0.353,0.829,0.762,0.68,0.512,0.323,0.549,0.311,0.344,0.321,0.323,0.202,NA,NA,NA,NA,NA,NA,NA,NA
80474,"80474","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.427,1.149,1.353,1.53,1.21,0.887,0.585,0.718,0.679,0.71,0.44,0.74,0.383,0.369,0.323,0.405,0.279,0.371,0.387,0.314,0.289,1.079,2.656,2.504,1.288,1.486,1.863,1.618,1.516,1.064,0.748,0.989,0.994,1.589,1.222,1.326,1.103,1.087,0.855,1.11,1.321,0.996,0.897,0.545,0.788,0.569,0.551,0.528,0.595,0.12,0.281,0.289,0.26,0.186,0.328,0.318,0.953,0.667,0.373,0.334,0.357,0.376,0.395,0.305,0.382,0.303,0.247,0.204,0.315,0.19,0.171,0.111,0.195,0.183,0.146,0.201,0.136,0.224,0.183,0.237,0.218,0.326,0.363,0.241,0.189,0.268,0.203,0.195,0.505,0.658,0.395,0.401,0.326,0.216,0.277,0.269,0.347,0.288,0.293,0.458,0.369,0.272,0.315,0.397,0.295,0.32,0.327,0.382,0.502,0.325,0.362,0.187,0.316,0.368,0.382,NA,NA,NA,NA,NA,NA,NA,NA
80503,"80503","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632,0.655,0.527,0.736,0.702,0.723,0.617,0.385,0.387,0.45,0.504,0.3,0.342,0.393,0.43,0.553,0.774,0.793,0.619,0.686,0.639,1,1.247,0.877,1.069,1.264,1.175,1.099,1.139,0.967,0.817,0.838,0.545,0.616,0.552,0.562,0.663,0.548,0.599,0.493,0.468,0.33,0.41,0.311,0.264,0.354,0.265,0.232,0.309,0.282,0.243,0.194,0.227,0.21,0.341,0.612,0.682,0.614,0.882,0.595,0.8,0.732,0.304,0.359,0.343,0.296,0.313,0.287,0.509,0.286,0.226,0.254,0.29,0.198,0.21,0.209,0.26,0.169,0.18,0.189,0.219,0.345,0.236,0.256,0.265,0.223,0.236,0.254,0.235,0.209,0.188,0.17,0.117,0.204,0.236,0.162,0.154,0.156,0.067,0.09,0.147,0.124,0.116,0.124,0.075,0.132,0.178,0.185,0.122,NA,NA,NA,NA,NA,NA,NA,NA
80554,"80554","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.202,0.929,0.979,1.064,0.611,1.035,1.036,1.199,1.086,0.868,0.802,1.408,1.678,2.457,1.799,2.146,1.575,1.808,1.688,1.352,1.444,1.269,1.276,1.083,1.611,1.694,1.796,1.708,1.49,1.472,1.455,1.191,1.517,1.274,0.572,1.345,0.979,0.476,0.528,0.558,0.565,0.506,0.478,1.207,0.854,1.391,1.205,1.698,1.117,1.39,1.468,1.544,0.768,1.011,0.772,0.781,0.74,1.316,2.179,2.441,1.018,2.012,1.281,1.267,1.179,1.489,NA,NA,NA,NA,NA,NA,NA,NA
80640,"80640A","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.571,1.408,0.883,0.776,0.786,0.595,0.655,1.095,1.79,1.248,1.758,1.47,1.879,1.549,1.399,1.044,1.119,0.921,0.78,0.689,0.701,1.44,1.297,1.656,1.172,1.298,1.5,1.292,0.96,1.117,1.127,0.679,0.58,0.845,0.57,0.603,0.578,0.426,0.465,1.303,1.824,1.671,1.851,1.985,1.77,1.765,1.774,1.293,1.844,1.631,1.465,1.119,1.201,1.667,2.077,1.566,1.543,1.962,1.969,2,2.075,2.26,1.187,1.57,1.44,0.573,0.591,0.642,0.562,0.718,0.845,1.285,1.175,1.542,1.404,1.962,0.775,1.065,1.468,0.803,0.728,0.804,0.767,1.258,1.639,1.697,0.871,0.858,0.854,0.633,0.724,1.094,NA,NA,NA,NA,NA,NA,NA,NA
90552,"90552","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,1.359,1.073,0.816,1.451,1.52,1.621,1.478,1.377,1.452,1.021,1.366,1.05,1.109,0.984,1.222,1.244,1.153,1.185,0.911,1.035,1.14,1.068,1.007,0.838,1.357,0.795,1.17,1.075,0.826,0.998,1.178,0.951,0.902,0.819,0.784,0.945,0.855,1.031,0.672,0.911,0.887,0.838,0.638,0.487,0.544,0.497,0.56,0.818,0.703,0.764,0.613,0.9,0.865,0.916,1.037,0.711,0.487,0.705,0.64,0.414,0.504,0.548,0.445,0.326,0.385,0.374,0.429,0.467,0.6,0.81,0.45,0.604,0.622,0.607,0.471,0.554,0.56,0.628,0.606,0.56,0.772,0.692,0.484,0.594,0.636,0.651,0.567,0.61,0.59,NA,NA,NA,NA,NA,NA,NA,NA
91302,"91302","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.393,0.304,0.23,0.236,0.253,0.279,0.351,0.471,0.393,0.399,0.324,0.288,0.163,0.213,0.286,0.284,0.175,0.105,0.174,0.909,0.873,0.493,0.783,0.829,1.076,1.628,1.322,1.898,1.651,2.116,2.219,2.122,1.934,1.597,2.039,1.887,1.933,1.514,1.026,1.17,1.573,2.115,2.312,1.861,1.873,1.545,1.157,1.177,1.185,1.085,1.68,1.603,1.427,1.329,1.522,1.264,1.308,1.394,1.32,1.941,1.746,2.587,1.961,2.148,1.654,1.174,1.121,0.998,1.292,0.924,1.596,1.621,1.456,1.633,1.428,1.637,1.628,1.571,1.823,1.454,1.043,1.997,1.576,0.828,0.635,0.765,0.741,0.789,0.77,0.96,1.078,1.097,1.288,1.166,0.718,1.237,1.525,1.657,1.244,0.997,0.917,1.19,0.93,1.3,1.065,1.158,1.06,1.172,1.207,1.161,1.199,1.249,1.059,NA,NA,NA,NA,NA,NA,NA,NA
91332,"91332","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.044,2.067,2.027,1.82,1.274,1.489,1.061,1.158,1.373,0.944,1.133,1.087,0.913,0.93,0.924,1.113,1.037,1.042,0.865,1.276,1.594,1.396,1.146,1.156,1.034,1.467,1.162,1.668,1.572,1.452,1.453,1.288,1.045,1.337,1.383,1.805,1.62,2.284,1.668,1.468,1.421,0.732,1.298,0.954,1.188,1.016,1.407,1.185,1.245,0.967,1.04,0.994,1.214,0.827,1.145,0.824,0.762,1.271,0.836,0.705,0.989,1.177,0.866,1.116,1.288,1.124,1.283,1.445,1.166,1.382,0.65,0.856,1.325,1.352,1.018,0.912,0.822,0.852,0.894,1.044,1.672,1.338,0.827,1.307,0.814,0.99,1.076,0.8,0.73,NA,NA,NA,NA,NA,NA,NA,NA
91385,"91385","caovl",0.341,0.191,0.462,0.33,0.367,0.499,0.482,0.466,0.657,0.359,0.398,0.407,0.376,0.481,0.46,0.587,0.945,0.803,0.967,0.948,1.419,1.425,0.975,0.93,0.85,0.917,0.74,0.752,0.67,0.532,0.622,0.671,0.34,0.418,0.439,0.198,0.309,0.387,0.3,0.506,1.355,1.365,0.808,0.853,1.002,1.026,0.792,0.668,0.748,1.328,1.163,1.029,1.537,0.909,0.632,0.739,0.885,1.044,0.89,1.001,0.852,1.023,0.858,0.825,0.881,0.762,0.92,0.843,0.826,0.619,0.665,0.933,1.026,0.891,0.914,0.715,0.707,0.772,0.681,0.78,0.709,0.866,0.662,0.887,0.765,0.72,0.792,0.508,0.565,0.526,0.619,0.804,0.762,0.761,0.579,0.603,0.741,0.736,0.96,0.974,0.731,0.796,0.856,0.496,0.52,0.666,0.524,0.44,0.599,0.678,0.602,0.59,0.556,0.868,0.515,0.383,0.765,0.625,0.442,0.656,0.533,0.608,0.505,0.544,0.523,0.648,0.548,0.33,0.372,0.271,0.379,0.648,0.469,NA,NA,NA,NA,NA,NA,NA,NA
